target_id,target_name,latitude_deg,longitude_deg,priority,release_step,deadline_step,duration,required_mode,required_resolution_m,required_swath_km,min_sun_elevation_deg,energy_cost,original_data_mb,compression_ratio,cooperation_mode,required_observers,max_coordination_gap_steps
train_000074,Train-Target-000074,15.16492248,44.36794348,9,127,200,1,optical,2.1493,11.4140,8.0,5.3150,51.9901,0.351145,single,1,120
train_002734,Train-Target-002734,4.91370970,179.18170175,3,80,220,1,optical,5.3405,33.3063,8.0,5.0866,23.6667,0.228760,single,1,120
train_002977,Train-Target-002977,-38.68768845,20.51862055,4,171,226,1,optical,7.0446,33.9263,8.0,6.3103,37.5393,0.241903,single,1,120
train_001423,Train-Target-001423,36.31695672,-23.44610399,1,48,110,1,sar,18.2910,84.2377,-90.0,6.2389,50.4723,0.396967,single,1,120
train_000117,Train-Target-000117,21.69430762,151.10836031,9,179,239,1,optical,4.6811,47.3797,8.0,8.1914,80.2047,0.413576,single,1,120
train_002563,Train-Target-002563,17.20131429,-158.46307995,8,8,143,1,optical,8.5444,43.9208,8.0,4.8279,84.3752,0.410772,single,1,120
train_000239,Train-Target-000239,-77.37209063,-33.43654546,4,90,196,1,infrared,29.9427,56.5578,-90.0,4.7488,35.9598,0.226558,simultaneous,2,120
train_000489,Train-Target-000489,0.40823804,32.67102243,8,2,143,1,infrared,30.6545,61.9541,-90.0,7.9819,83.8749,0.416747,simultaneous,2,120
train_002603,Train-Target-002603,-53.34063296,-113.24482470,3,116,231,1,optical,5.3833,45.0193,8.0,5.1979,73.9704,0.181430,single,1,120
train_000991,Train-Target-000991,6.52431242,-168.37621477,6,70,212,1,infrared,34.5362,73.0456,-90.0,4.9635,22.7502,0.238590,single,1,120
train_001770,Train-Target-001770,-17.49416436,84.79709143,8,1,151,1,sar,19.9961,86.9379,-90.0,4.6663,28.8885,0.435637,single,1,120
train_001479,Train-Target-001479,-44.89391798,20.39079076,7,43,99,1,sar,18.3008,34.0245,-90.0,4.8219,27.1140,0.276447,simultaneous,2,120
train_000096,Train-Target-000096,35.09564021,11.04117270,5,101,151,1,infrared,29.3714,100.5462,-90.0,5.1458,24.5690,0.372416,single,1,120
train_000822,Train-Target-000822,15.94939685,144.75171439,10,94,159,1,optical,9.8741,48.6193,8.0,6.7331,67.1395,0.405934,single,1,120
train_002465,Train-Target-002465,-13.89425682,28.47238878,10,154,235,1,optical,3.5694,64.1477,8.0,8.1353,64.5274,0.235846,single,1,120
train_000356,Train-Target-000356,-2.61572476,31.67619528,8,12,133,1,optical,7.7173,40.1334,8.0,5.5389,89.2906,0.311927,simultaneous,2,120
train_000739,Train-Target-000739,42.12136293,6.02370343,3,8,88,1,optical,5.5487,47.6032,8.0,4.5563,49.2247,0.289957,single,1,120
train_000486,Train-Target-000486,65.89567153,81.34968450,2,86,221,1,sar,15.9281,55.2940,-90.0,8.2835,41.0979,0.287273,single,1,120
train_001270,Train-Target-001270,-50.90680804,-116.16900754,8,126,176,1,optical,2.4239,53.0859,8.0,7.7101,58.3195,0.430318,single,1,120
train_002441,Train-Target-002441,-10.07879853,46.85177295,5,16,176,1,sar,13.3739,49.7531,-90.0,5.7553,76.7415,0.236732,sequential,2,120
train_000196,Train-Target-000196,35.11028386,-73.69791608,3,54,165,1,sar,20.1498,47.1485,-90.0,6.5349,49.0393,0.354230,single,1,120
train_002960,Train-Target-002960,45.40530390,86.45017631,4,85,195,1,sar,10.0633,25.1044,-90.0,6.9351,86.1970,0.292716,sequential,2,120
train_000947,Train-Target-000947,-35.34204150,164.38657069,5,64,188,1,sar,20.0276,90.2166,-90.0,7.6714,56.1500,0.408505,single,1,120
train_001086,Train-Target-001086,-24.63257382,-104.06544997,4,98,184,1,sar,9.5765,33.3786,-90.0,7.0365,53.5654,0.411906,single,1,120
train_001130,Train-Target-001130,-8.09196922,76.84092169,5,122,219,1,optical,5.1432,42.9823,8.0,7.0396,29.4033,0.342033,sequential,2,120
train_000464,Train-Target-000464,64.93082187,-2.74515449,4,73,193,1,optical,6.1385,16.9471,8.0,7.0058,45.9501,0.412141,single,1,120
train_002617,Train-Target-002617,28.14575098,-20.92641110,7,128,233,1,optical,9.0116,37.6690,8.0,4.5026,56.3219,0.400796,sequential,2,120
train_000428,Train-Target-000428,38.46548256,128.44718423,10,15,123,1,sar,14.4949,67.8438,-90.0,4.5050,89.3402,0.379025,single,1,120
train_002320,Train-Target-002320,-23.64736256,-4.04805115,5,168,233,1,optical,5.1327,52.0654,8.0,7.8719,53.6161,0.342966,single,1,120
train_001133,Train-Target-001133,-8.38962919,-176.34577302,4,34,192,1,optical,5.5961,64.5881,8.0,5.1227,79.1044,0.365696,sequential,2,120
train_000557,Train-Target-000557,-9.88678924,69.26851985,4,126,193,1,optical,8.5712,53.7768,8.0,7.5749,62.1798,0.293601,single,1,120
train_000203,Train-Target-000203,-51.20551897,-173.49090288,3,25,152,1,sar,19.4202,81.0212,-90.0,6.8256,44.1968,0.363574,sequential,2,120
train_001895,Train-Target-001895,63.55298047,-116.07644308,3,43,159,1,sar,12.4829,44.6740,-90.0,6.9074,42.1195,0.273222,single,1,120
train_002438,Train-Target-002438,-51.56455138,94.97830930,8,20,79,1,optical,9.5917,42.1667,8.0,7.3960,30.8735,0.417502,sequential,2,120
train_001016,Train-Target-001016,58.96390272,-167.06064148,6,132,222,1,optical,6.1511,62.4865,8.0,6.9768,82.4165,0.306107,single,1,120
train_001891,Train-Target-001891,-46.23507931,63.99209233,5,137,195,1,infrared,39.0592,75.9318,-90.0,6.4364,89.1482,0.266425,single,1,120
train_001870,Train-Target-001870,-55.55032943,-141.21963801,1,87,234,1,optical,7.6394,43.2144,8.0,5.5475,56.6833,0.422025,single,1,120
train_002581,Train-Target-002581,-48.98633456,178.75718601,10,1,158,1,optical,6.3326,18.0390,8.0,4.7758,68.6936,0.436380,sequential,2,120
train_001811,Train-Target-001811,37.92425549,80.07263568,6,154,219,1,optical,6.6567,10.8927,8.0,6.4987,41.7571,0.278198,single,1,120
train_002987,Train-Target-002987,-15.97179078,-80.56495536,6,91,211,1,infrared,30.5097,62.9666,-90.0,8.1596,28.3236,0.443882,single,1,120
train_001433,Train-Target-001433,-17.06590784,107.86829895,2,134,237,1,optical,2.3830,26.2610,8.0,8.3563,55.6496,0.315643,simultaneous,2,120
train_001577,Train-Target-001577,-2.07979341,159.70878690,2,33,150,1,optical,8.0021,26.0630,8.0,7.8851,46.8982,0.249223,single,1,120
train_002062,Train-Target-002062,35.45087263,-125.55696552,9,106,194,1,optical,9.8030,19.6337,8.0,5.0365,64.9434,0.421268,sequential,2,120
train_002784,Train-Target-002784,54.38093693,-172.58358043,8,31,178,1,sar,8.6098,89.8542,-90.0,7.4150,55.8885,0.445868,single,1,120
train_001325,Train-Target-001325,-54.93122999,-76.75912996,6,33,100,1,optical,3.9621,64.4397,8.0,7.1486,44.8609,0.320120,single,1,120
train_001143,Train-Target-001143,22.19778603,111.18856645,3,73,218,1,optical,6.0846,41.4281,8.0,6.0822,57.6225,0.326598,single,1,120
train_000712,Train-Target-000712,-14.62760259,-150.04965903,10,60,104,1,sar,11.3807,82.2835,-90.0,7.7428,26.6882,0.322379,single,1,120
train_002531,Train-Target-002531,-28.74772397,179.48254352,9,50,192,1,optical,7.5677,25.9193,8.0,4.7329,76.9820,0.228782,single,1,120
train_001446,Train-Target-001446,-6.59622266,21.88787264,1,163,233,1,optical,5.1169,29.6711,8.0,6.7079,57.1842,0.198158,single,1,120
train_002695,Train-Target-002695,33.48005603,152.05500465,4,147,194,1,optical,9.9402,52.8764,8.0,6.9195,70.2092,0.228454,sequential,2,120
train_001342,Train-Target-001342,-56.49525345,137.46602007,8,122,234,1,infrared,26.2946,120.3795,-90.0,7.1438,49.1532,0.352219,single,1,120
train_000795,Train-Target-000795,12.26849493,29.37770173,9,60,214,1,sar,10.2806,52.8816,-90.0,5.9906,38.8380,0.289631,sequential,2,120
train_001414,Train-Target-001414,70.01376905,119.41050471,10,26,163,1,optical,4.2914,64.9911,8.0,5.9265,87.5944,0.193048,sequential,2,120
train_001094,Train-Target-001094,66.43503226,-129.82749826,5,95,230,1,sar,11.0843,27.2741,-90.0,8.0568,24.0563,0.234269,single,1,120
train_002107,Train-Target-002107,60.26776211,-122.08483721,3,70,155,1,sar,14.0770,69.2485,-90.0,7.0122,60.4000,0.231822,sequential,2,120
train_002076,Train-Target-002076,-38.66386774,51.02189664,4,2,115,1,optical,5.8276,33.0939,8.0,5.4297,85.3467,0.426943,single,1,120
train_002767,Train-Target-002767,-32.16784747,7.75321368,9,10,70,1,optical,2.9714,63.3001,8.0,6.5155,69.5258,0.413156,single,1,120
train_000291,Train-Target-000291,0.25564189,72.99726564,5,90,230,1,sar,9.5639,108.5635,-90.0,7.5028,20.1100,0.303666,single,1,120
train_001966,Train-Target-001966,48.19481693,6.01421372,10,56,107,1,optical,6.0795,44.4373,8.0,6.1119,69.7012,0.408684,single,1,120
train_000171,Train-Target-000171,-14.53709737,20.49352202,8,57,204,1,infrared,26.1217,45.9700,-90.0,6.5816,87.3490,0.186329,single,1,120
train_002488,Train-Target-002488,-2.45854511,160.00645181,4,11,129,1,sar,10.4888,27.4332,-90.0,7.5175,36.3024,0.391697,sequential,2,120
train_002653,Train-Target-002653,23.45115372,-145.53963604,1,54,144,1,optical,7.6571,13.3246,8.0,7.7050,51.1459,0.199342,single,1,120
train_001471,Train-Target-001471,-53.37188045,-3.97026199,6,123,173,1,sar,19.3869,103.3825,-90.0,7.2247,42.4980,0.325581,sequential,2,120
train_001639,Train-Target-001639,23.92849660,9.22672122,2,105,235,1,optical,7.0174,61.5860,8.0,5.9813,52.6833,0.402920,single,1,120
train_001543,Train-Target-001543,-14.26125918,95.02381104,10,69,172,1,optical,5.8805,55.5905,8.0,8.0120,23.9624,0.283796,sequential,2,120
train_001506,Train-Target-001506,-64.33713533,-101.50986339,1,61,184,1,optical,9.4476,15.0813,8.0,5.6601,35.9231,0.283933,single,1,120
train_000339,Train-Target-000339,8.78794513,-69.08411175,3,32,86,1,sar,17.3707,36.3418,-90.0,7.1602,32.7087,0.404237,single,1,120
train_000729,Train-Target-000729,6.85565661,-13.62090065,10,54,201,1,optical,4.6320,17.3108,8.0,6.0664,65.2313,0.339342,single,1,120
train_002216,Train-Target-002216,-38.51565566,21.72996432,9,16,164,1,optical,6.9215,31.9126,8.0,8.3526,35.0812,0.348642,single,1,120
train_001335,Train-Target-001335,-16.89865383,66.07901087,1,189,239,1,sar,8.7709,96.2275,-90.0,7.3564,80.0382,0.374581,single,1,120
train_000816,Train-Target-000816,-9.55962145,-99.03410452,7,75,133,1,optical,7.7452,29.0111,8.0,6.9200,33.9420,0.313498,single,1,120
train_002193,Train-Target-002193,8.47697165,-17.83775653,1,76,154,1,optical,6.0521,36.5429,8.0,7.1198,31.9471,0.253141,simultaneous,2,120
train_002717,Train-Target-002717,7.44158612,-133.12348278,9,93,161,1,optical,2.3397,45.2823,8.0,6.7636,43.8093,0.282976,single,1,120
train_000761,Train-Target-000761,-41.45429753,118.69125373,9,99,232,1,sar,13.6965,73.8493,-90.0,4.7309,57.4018,0.406508,single,1,120
train_002750,Train-Target-002750,3.98252836,-61.29333106,1,88,138,1,optical,8.8213,10.9030,8.0,7.5586,71.6225,0.253878,single,1,120
train_001030,Train-Target-001030,-31.58400209,171.03762073,7,62,218,1,optical,6.3734,63.6937,8.0,6.0984,46.5402,0.430711,single,1,120
train_001829,Train-Target-001829,-10.44010922,-6.57191425,2,138,211,1,sar,11.9638,35.5481,-90.0,4.7713,49.3191,0.254425,single,1,120
train_002824,Train-Target-002824,79.83519675,-135.17867163,1,97,216,1,infrared,32.3788,90.4875,-90.0,4.9903,20.7207,0.443538,single,1,120
train_000966,Train-Target-000966,-61.80359894,-128.47193434,2,10,162,1,optical,2.5289,61.4644,8.0,4.7679,23.2462,0.302523,single,1,120
train_001995,Train-Target-001995,-13.96460825,159.84218113,8,116,215,1,infrared,38.7985,119.9625,-90.0,6.9261,48.9020,0.259273,sequential,2,120
train_002254,Train-Target-002254,54.70301478,39.12979121,8,27,155,1,sar,8.1277,84.3963,-90.0,8.1873,30.3017,0.233436,single,1,120
train_002327,Train-Target-002327,-38.65965397,-18.79190907,8,167,232,1,sar,21.6944,47.9034,-90.0,7.3641,41.3062,0.427510,single,1,120
train_000883,Train-Target-000883,-23.60218254,-39.09921052,3,44,170,1,sar,16.6592,90.4060,-90.0,6.6632,50.5019,0.329454,single,1,120
train_001507,Train-Target-001507,-62.81561902,-24.75634591,4,0,61,1,sar,20.8358,64.4714,-90.0,7.0781,73.3566,0.370662,single,1,120
train_001653,Train-Target-001653,84.94697350,55.54829686,6,13,82,1,optical,5.8403,36.7411,8.0,8.0457,87.0350,0.355197,simultaneous,2,120
train_000797,Train-Target-000797,42.90251484,168.41924111,1,67,173,1,optical,4.2097,32.4359,8.0,5.9112,42.6766,0.435295,single,1,120
train_001244,Train-Target-001244,-70.02683940,68.03154848,1,94,239,1,sar,19.3411,36.1839,-90.0,4.6064,37.6191,0.368209,single,1,120
train_000786,Train-Target-000786,-23.18329450,67.07510481,8,100,186,1,optical,7.7162,17.5487,8.0,6.0281,72.9010,0.410438,single,1,120
train_000103,Train-Target-000103,17.09450658,33.75953394,5,38,95,1,optical,4.7462,60.4929,8.0,8.3081,50.5726,0.210541,sequential,2,120
train_001240,Train-Target-001240,-38.82951119,-9.62156375,10,63,132,1,optical,2.5677,32.7384,8.0,6.7104,72.3297,0.403850,simultaneous,2,120
train_002223,Train-Target-002223,-0.59319825,154.03221640,8,68,149,1,optical,7.9743,27.1926,8.0,7.0567,40.7292,0.197296,single,1,120
train_001654,Train-Target-001654,-25.20229413,125.98074939,6,30,115,1,optical,8.7171,34.3448,8.0,6.5460,50.7370,0.415566,single,1,120
train_001350,Train-Target-001350,-40.04956754,-112.27009252,5,81,152,1,sar,8.1677,49.4759,-90.0,6.1337,23.7485,0.268709,single,1,120
train_002758,Train-Target-002758,22.79478453,65.81571279,10,79,215,1,optical,3.6278,31.2948,8.0,5.1516,34.1574,0.361447,single,1,120
train_003054,Train-Target-003054,62.64712608,10.54767410,1,90,167,1,optical,5.7139,24.6738,8.0,7.0901,25.4124,0.333566,single,1,120
train_001022,Train-Target-001022,58.71668858,54.21622535,6,84,169,1,optical,8.2740,42.9031,8.0,5.8436,54.5556,0.219813,single,1,120
train_001121,Train-Target-001121,-30.19542934,-23.11064473,3,13,137,1,optical,4.6514,18.1698,8.0,7.4207,77.6635,0.296312,simultaneous,2,120
train_002218,Train-Target-002218,33.94565174,160.05217966,5,57,212,1,optical,8.9309,46.3878,8.0,4.7587,86.4226,0.194587,sequential,2,120
train_002902,Train-Target-002902,15.74935556,125.74307420,8,28,164,1,sar,12.7448,54.8053,-90.0,7.3078,31.6592,0.235910,single,1,120
train_001580,Train-Target-001580,-12.15086658,5.12598062,2,26,94,1,optical,9.6054,22.9205,8.0,4.9733,33.0559,0.435008,single,1,120
train_000511,Train-Target-000511,-59.56000818,26.49247149,8,152,224,1,sar,10.7443,39.2694,-90.0,7.6979,58.1360,0.298085,single,1,120
train_000358,Train-Target-000358,-71.51102448,-166.62864398,5,22,134,1,sar,17.6447,68.8295,-90.0,5.3473,42.6433,0.321687,single,1,120
train_001334,Train-Target-001334,64.52865687,5.12695958,7,143,191,1,sar,16.4327,61.6185,-90.0,4.5844,29.4454,0.433175,single,1,120
train_002720,Train-Target-002720,-45.65669079,14.16882271,9,124,198,1,optical,7.1433,58.2104,8.0,5.2433,47.6694,0.315331,simultaneous,2,120
train_000621,Train-Target-000621,43.83887966,-120.81975435,2,54,211,1,optical,8.6221,54.4509,8.0,5.4875,33.7439,0.374861,sequential,2,120
train_001072,Train-Target-001072,-50.17400715,163.77844088,1,55,210,1,optical,2.8977,32.4057,8.0,5.1190,75.6330,0.218164,single,1,120
train_000791,Train-Target-000791,15.52276818,37.61817319,2,45,199,1,infrared,22.5022,49.2666,-90.0,6.6580,27.4602,0.348261,simultaneous,2,120
train_002773,Train-Target-002773,-38.65576805,139.82190663,1,90,174,1,optical,3.7770,44.9388,8.0,6.4682,56.0288,0.247190,single,1,120
