target_id,target_name,target_type,latitude_deg,longitude_deg,priority,release_step,deadline_step,duration,required_mode,required_resolution_m,required_swath_km,min_sun_elevation_deg,energy_cost,original_data_mb,compression_ratio,cooperation_mode,required_observers,max_coordination_gap_steps,observation_duration_seconds,area_width_km,area_height_km,area_orientation_deg,coverage_threshold
train_000694,Train-Target-000694,area,-41.03383193,19.89026123,4,86,191,1,sar,21.7432,63.1288,-90.0,4.5636,46.3375,0.312826,auto,0,120,20.0,235.6309,166.3896,264.0277,0.95
train_000629,Train-Target-000629,area,44.32701569,33.32658174,3,39,170,1,optical,2.6353,55.5334,8.0,5.1446,22.6715,0.295936,auto,0,120,20.0,117.8023,76.9563,331.9534,0.95
train_001909,Train-Target-001909,area,-13.44762895,-117.76825606,7,85,223,1,optical,7.9649,42.9535,8.0,6.8169,73.5477,0.407053,auto,0,120,20.0,18.1293,25.3231,94.5788,0.95
train_000457,Train-Target-000457,point,-11.40170385,-76.01302827,6,20,155,1,optical,6.2911,24.0499,8.0,7.5064,79.4216,0.279627,single,1,120,5.0,,,,
train_000343,Train-Target-000343,area,-20.18124835,149.17194441,7,183,233,1,optical,8.6071,10.1746,8.0,6.2443,64.6381,0.232615,auto,0,120,20.0,283.0542,183.5793,148.2252,0.95
train_000070,Train-Target-000070,area,21.93055640,-73.30420362,6,65,189,1,sar,20.0789,105.9957,-90.0,4.8520,32.4262,0.323807,auto,0,120,20.0,245.5536,280.2924,323.7569,0.95
train_001512,Train-Target-001512,point,-39.35251499,-23.88098187,1,71,207,1,optical,6.1145,47.8835,8.0,7.1114,78.3591,0.299166,single,1,120,5.0,,,,
train_002667,Train-Target-002667,area,-44.78350346,47.38180822,1,86,205,1,optical,8.7842,53.5926,8.0,6.9271,75.7427,0.376228,auto,0,120,20.0,76.1816,76.2471,250.0765,0.95
train_001956,Train-Target-001956,area,-61.52450503,-79.70426672,5,11,110,1,optical,9.7234,52.5402,8.0,7.8824,73.1395,0.388174,auto,0,120,20.0,32.1144,49.7087,135.9198,0.95
train_000905,Train-Target-000905,area,50.70085286,20.35616802,4,7,161,1,sar,18.5593,26.1257,-90.0,5.5761,63.7629,0.199360,auto,0,120,20.0,76.4253,98.8273,11.1156,0.95
train_001630,Train-Target-001630,area,-77.07767540,138.32975800,7,129,231,1,optical,7.5003,51.9045,8.0,4.6053,29.8585,0.292361,auto,0,120,20.0,93.3065,62.3556,217.0514,0.95
train_002325,Train-Target-002325,area,9.84613914,173.91477428,10,0,76,1,optical,3.7705,31.6475,8.0,5.4914,44.1951,0.444367,auto,0,120,20.0,46.2724,32.3217,137.8660,0.95
train_001525,Train-Target-001525,point,7.79224639,-129.75221470,3,36,88,1,optical,7.7043,32.9068,8.0,6.7118,77.1884,0.276385,single,1,120,5.0,,,,
train_001954,Train-Target-001954,area,-16.70964254,-97.09556577,10,26,102,1,optical,8.3497,64.1326,8.0,7.5428,61.2487,0.230622,auto,0,120,20.0,110.2679,99.9735,151.7116,0.95
train_002236,Train-Target-002236,area,12.95803653,-142.45946027,8,10,74,1,optical,7.6362,14.6770,8.0,7.8526,28.4345,0.262646,auto,0,120,20.0,25.4842,14.6733,308.3267,0.95
train_001691,Train-Target-001691,area,-21.72426511,-126.17025939,10,18,126,1,optical,4.5369,34.2336,8.0,7.7994,76.1089,0.435402,auto,0,120,20.0,191.1080,245.3469,14.3069,0.95
train_001073,Train-Target-001073,area,69.70001342,-41.13411763,1,49,136,1,sar,16.1989,60.6858,-90.0,7.2291,43.6602,0.376132,auto,0,120,20.0,253.0503,192.3682,288.9571,0.95
train_000015,Train-Target-000015,area,21.42966905,-105.13882331,4,104,184,1,optical,8.6216,23.2180,8.0,7.5304,51.4817,0.256669,auto,0,120,20.0,112.3757,124.3755,167.8986,0.95
train_002545,Train-Target-002545,area,-54.91750292,-54.82200157,5,70,116,1,optical,6.7202,34.9197,8.0,7.9714,74.0126,0.404959,auto,0,120,20.0,49.4400,27.9627,47.2489,0.95
train_002927,Train-Target-002927,point,27.58167451,-26.58110383,6,28,181,1,sar,15.1648,69.3086,-90.0,5.4983,33.1250,0.434649,single,1,120,5.0,,,,
train_000707,Train-Target-000707,area,-28.69909122,106.35456231,7,39,191,1,optical,4.2811,53.7962,8.0,7.3885,43.0422,0.366475,auto,0,120,20.0,66.1635,95.5823,317.9135,0.95
train_000416,Train-Target-000416,point,-20.64166193,-119.83828847,9,14,172,1,optical,4.7280,18.7798,8.0,4.7587,37.8533,0.436229,single,1,120,5.0,,,,
train_001194,Train-Target-001194,area,-40.98910662,122.29537550,5,81,199,1,sar,9.0326,25.1512,-90.0,8.1098,43.0972,0.239200,auto,0,120,20.0,21.6838,46.9918,130.1647,0.95
train_000555,Train-Target-000555,area,-76.77468839,24.91783317,3,38,169,1,optical,7.3073,57.9439,8.0,5.3127,23.5531,0.270366,auto,0,120,20.0,100.4898,133.7730,349.5014,0.95
train_002595,Train-Target-002595,area,-13.69553809,-47.74928145,3,4,130,1,optical,7.2660,39.4300,8.0,5.0542,71.5478,0.188285,auto,0,120,20.0,159.3910,245.0441,165.4377,0.95
train_001334,Train-Target-001334,area,-16.19090181,15.53353730,10,33,145,1,sar,17.6616,83.6130,-90.0,5.3320,62.9946,0.235991,auto,0,120,20.0,252.2036,204.0639,91.0955,0.95
train_000814,Train-Target-000814,area,37.11697509,78.17587508,1,40,113,1,sar,14.9449,70.3627,-90.0,6.2714,43.4610,0.316716,auto,0,120,20.0,23.6000,44.1197,351.2450,0.95
train_001371,Train-Target-001371,area,-9.58579058,-0.67527041,5,88,150,1,sar,21.1995,39.1017,-90.0,7.6149,66.2330,0.395687,auto,0,120,20.0,44.0594,43.4866,179.7145,0.95
train_001814,Train-Target-001814,area,-29.91038586,138.95660123,6,65,210,1,infrared,38.1085,130.1376,-90.0,7.3493,40.8324,0.327946,auto,0,120,20.0,109.3441,102.8082,164.0494,0.95
train_001002,Train-Target-001002,area,-74.32914121,-93.10477687,7,10,115,1,sar,13.0109,84.3839,-90.0,5.6613,40.3790,0.310716,auto,0,120,20.0,19.4144,38.1784,270.6599,0.95
train_001645,Train-Target-001645,point,-33.74242968,63.08858113,2,48,165,1,optical,3.6417,45.4943,8.0,7.1720,59.3506,0.218136,single,1,120,5.0,,,,
train_000450,Train-Target-000450,area,68.42046676,135.32087869,10,52,141,1,optical,6.6889,45.8421,8.0,7.9887,38.6017,0.216811,auto,0,120,20.0,138.3764,126.7114,57.1158,0.95
train_001033,Train-Target-001033,point,51.13841741,29.18990989,1,76,136,1,optical,3.5522,10.5800,8.0,7.9400,39.9747,0.204495,single,1,120,5.0,,,,
train_000924,Train-Target-000924,area,9.36780481,-64.18580137,1,10,124,1,optical,3.3939,29.5192,8.0,5.7657,84.4436,0.258877,auto,0,120,20.0,27.7374,39.9892,140.4761,0.95
train_001637,Train-Target-001637,point,-20.30304022,-18.58258954,2,49,113,1,sar,9.2490,51.6839,-90.0,4.8698,58.1822,0.270591,single,1,120,5.0,,,,
train_000751,Train-Target-000751,area,58.92929008,-100.18346900,3,109,211,1,sar,11.4798,25.4706,-90.0,6.2109,31.5611,0.265085,auto,0,120,20.0,17.4511,36.6374,108.6574,0.95
train_001203,Train-Target-001203,area,37.80838573,159.52412606,9,130,180,1,optical,5.4774,18.6277,8.0,7.5755,86.0943,0.250700,auto,0,120,20.0,277.4810,242.9983,135.3627,0.95
train_002376,Train-Target-002376,area,24.13034874,140.40651197,3,109,164,1,optical,3.8182,13.0094,8.0,6.0493,75.5329,0.186973,auto,0,120,20.0,222.3979,271.2940,143.9170,0.95
train_001697,Train-Target-001697,area,-0.66600977,-169.81910691,4,88,208,1,sar,9.4347,89.5697,-90.0,7.6640,76.5927,0.319491,auto,0,120,20.0,203.6566,184.8244,14.7720,0.95
train_001009,Train-Target-001009,area,-33.77404495,86.62711559,1,72,179,1,optical,5.6352,30.1273,8.0,6.2581,81.8059,0.285769,auto,0,120,20.0,46.9529,17.1079,292.6146,0.95
train_000946,Train-Target-000946,area,4.39922942,-72.86494787,3,107,235,1,optical,8.8068,63.2723,8.0,6.4711,81.3867,0.234416,auto,0,120,20.0,131.9936,128.6080,174.3180,0.95
train_001014,Train-Target-001014,area,-16.27046611,-29.98641508,9,136,237,1,optical,7.7336,14.5684,8.0,6.6344,27.5620,0.212357,auto,0,120,20.0,36.2480,13.8028,294.6629,0.95
train_002693,Train-Target-002693,area,75.14627369,-109.27340986,8,24,152,1,infrared,34.9167,82.8824,-90.0,8.2107,45.2232,0.245397,auto,0,120,20.0,35.4183,16.7964,11.2673,0.95
train_002834,Train-Target-002834,area,22.10404323,-56.85950659,7,90,148,1,infrared,39.1204,119.5892,-90.0,4.9869,26.0175,0.186603,auto,0,120,20.0,16.3030,46.1060,354.9241,0.95
train_002456,Train-Target-002456,area,-3.08313074,52.07664748,3,17,154,1,sar,11.8215,59.7080,-90.0,5.4733,58.1959,0.371489,auto,0,120,20.0,123.5179,99.5335,150.6981,0.95
train_002355,Train-Target-002355,area,-33.80587104,135.69246611,3,129,176,1,optical,4.2783,17.7861,8.0,7.0550,32.2828,0.313361,auto,0,120,20.0,128.1352,62.6650,142.7303,0.95
train_001145,Train-Target-001145,point,11.93950888,119.99618266,10,5,164,1,optical,2.6613,24.2191,8.0,7.6704,62.1869,0.237555,sequential,2,120,5.0,,,,
train_002226,Train-Target-002226,area,44.72780626,80.28884950,10,38,109,1,sar,11.0544,62.3197,-90.0,5.7370,78.9203,0.336470,auto,0,120,20.0,192.6144,195.1237,333.0495,0.95
train_000468,Train-Target-000468,area,65.35752578,-102.19399140,10,27,180,1,optical,9.6077,49.0208,8.0,8.0779,74.8370,0.210835,auto,0,120,20.0,67.0947,86.0912,198.4031,0.95
train_002420,Train-Target-002420,area,58.85180888,111.15593459,2,0,146,1,optical,9.7053,46.2024,8.0,7.6794,89.7984,0.297102,auto,0,120,20.0,58.1244,134.0461,51.5639,0.95
train_003002,Train-Target-003002,area,-62.45828627,131.98392881,4,88,226,1,sar,10.8389,38.0647,-90.0,6.8351,27.4182,0.243370,auto,0,120,20.0,53.3634,130.0600,257.0206,0.95
train_000215,Train-Target-000215,point,-54.07102998,-118.66095326,3,89,145,1,sar,18.0911,108.2983,-90.0,7.7305,25.6891,0.361454,sequential,2,120,5.0,,,,
train_001168,Train-Target-001168,point,76.52096599,-54.34405263,1,155,206,1,sar,13.9664,92.0753,-90.0,7.3293,38.6837,0.269800,simultaneous,2,120,5.0,,,,
train_002166,Train-Target-002166,area,39.63719516,9.47356491,2,70,156,1,optical,5.8218,26.0901,8.0,7.0741,24.8853,0.397357,auto,0,120,20.0,124.4643,76.6070,186.1370,0.95
train_002530,Train-Target-002530,area,56.30402090,9.83177801,6,83,167,1,sar,18.8877,42.9645,-90.0,6.4800,60.8298,0.230245,auto,0,120,20.0,29.4762,23.6276,325.3953,0.95
train_002851,Train-Target-002851,area,26.40231990,-162.58633251,2,0,135,1,optical,7.1566,33.1947,8.0,6.8242,62.9476,0.296280,auto,0,120,20.0,122.5521,74.1596,256.2917,0.95
train_001276,Train-Target-001276,point,-48.13126993,-4.19247555,3,30,181,1,sar,10.8638,70.6750,-90.0,4.6027,79.9588,0.214512,sequential,2,120,5.0,,,,
train_002219,Train-Target-002219,area,-42.99732878,-178.79695417,1,109,198,1,sar,14.5366,29.6856,-90.0,4.6238,67.9065,0.440330,auto,0,120,20.0,73.9386,132.3213,260.4029,0.95
train_000608,Train-Target-000608,point,18.28426644,-1.86661069,2,103,216,1,optical,7.3364,34.6226,8.0,6.7090,32.4069,0.398334,sequential,2,120,5.0,,,,
train_001065,Train-Target-001065,area,64.31465607,-121.69030422,8,112,168,1,optical,4.0187,18.3639,8.0,6.6129,83.9314,0.392829,auto,0,120,20.0,57.6894,108.7737,347.6759,0.95
train_000676,Train-Target-000676,area,-47.90963267,-18.85689866,9,63,107,1,optical,3.1730,34.3355,8.0,4.5356,39.9555,0.338947,auto,0,120,20.0,170.9503,177.8878,290.9325,0.95
train_001584,Train-Target-001584,area,24.21117035,-169.13354376,5,59,181,1,optical,9.8433,50.8010,8.0,6.3801,88.9469,0.330309,auto,0,120,20.0,67.6266,56.9950,89.7093,0.95
train_002074,Train-Target-002074,point,49.11486763,-67.25988515,3,104,191,1,optical,7.1273,47.2372,8.0,6.5587,46.4143,0.374631,single,1,120,5.0,,,,
train_001471,Train-Target-001471,area,-3.92767269,40.08501282,4,38,126,1,infrared,39.4811,124.4022,-90.0,5.7852,48.8574,0.195023,auto,0,120,20.0,220.5750,160.3987,274.7119,0.95
train_001599,Train-Target-001599,area,40.84748314,-11.58982118,7,179,239,1,optical,4.1143,51.3409,8.0,6.3120,46.9663,0.271229,auto,0,120,20.0,42.0675,45.4382,276.6863,0.95
train_000857,Train-Target-000857,area,42.14940487,142.36936210,2,17,137,1,optical,2.8661,45.5694,8.0,8.3152,51.2398,0.305579,auto,0,120,20.0,273.6839,200.4974,218.0972,0.95
train_002356,Train-Target-002356,area,51.11590792,-31.03607242,6,22,174,1,sar,21.7754,107.0469,-90.0,7.5588,82.4786,0.226796,auto,0,120,20.0,119.4986,53.2029,327.5177,0.95
train_000823,Train-Target-000823,area,-22.97427015,178.14710775,1,20,105,1,sar,13.9711,60.6727,-90.0,5.2279,39.2517,0.330584,auto,0,120,20.0,120.1620,92.3402,31.9828,0.95
train_001742,Train-Target-001742,area,-9.20709775,-131.39625250,7,74,229,1,optical,9.9332,53.4566,8.0,6.6312,64.4685,0.448294,auto,0,120,20.0,77.0020,58.7862,163.3356,0.95
train_001199,Train-Target-001199,point,56.51773255,167.17256002,4,83,180,1,optical,5.2651,19.1545,8.0,6.3816,70.2637,0.234726,sequential,2,120,5.0,,,,
train_000032,Train-Target-000032,area,-42.16221405,158.59331680,8,111,198,1,sar,14.0034,108.0615,-90.0,6.1108,80.9609,0.329822,auto,0,120,20.0,34.8257,19.4913,351.5430,0.95
train_000115,Train-Target-000115,area,-48.15308898,42.67576358,4,48,173,1,optical,6.1012,36.2789,8.0,7.8855,75.4266,0.182194,auto,0,120,20.0,39.3267,37.3972,225.0939,0.95
train_000417,Train-Target-000417,area,-28.86932425,36.10008977,10,36,168,1,optical,3.2574,41.1147,8.0,8.0612,52.6610,0.352919,auto,0,120,20.0,84.0120,98.9738,194.3756,0.95
train_002278,Train-Target-002278,area,-4.26583398,-38.61030055,1,39,129,1,optical,4.4392,17.4867,8.0,5.6985,27.7173,0.382875,auto,0,120,20.0,118.1847,99.1111,92.5411,0.95
train_000380,Train-Target-000380,area,14.60316267,167.06511138,9,51,169,1,optical,4.3210,19.6294,8.0,8.0366,49.2657,0.338855,auto,0,120,20.0,42.4577,36.4914,191.7406,0.95
train_002497,Train-Target-002497,area,55.84114185,93.43671314,2,94,145,1,infrared,24.4190,54.4588,-90.0,5.4172,59.0041,0.279028,auto,0,120,20.0,46.8610,16.9430,238.6652,0.95
train_001319,Train-Target-001319,point,-4.90583781,57.36269194,1,80,158,1,sar,9.8094,34.6349,-90.0,5.5509,88.7962,0.416956,single,1,120,5.0,,,,
train_000537,Train-Target-000537,area,-9.60976540,-25.65379740,2,34,129,1,optical,5.9552,48.2335,8.0,5.4081,42.5274,0.268899,auto,0,120,20.0,41.8758,31.6107,109.1190,0.95
train_002418,Train-Target-002418,point,5.07988094,-149.09951133,10,77,136,1,optical,8.9254,58.0492,8.0,6.2153,65.7659,0.301792,single,1,120,5.0,,,,
train_003063,Train-Target-003063,area,16.65630677,74.79435666,3,17,112,1,optical,5.8409,63.6605,8.0,8.3116,50.9061,0.397887,auto,0,120,20.0,234.9890,228.8467,108.1177,0.95
train_000284,Train-Target-000284,area,-38.07232874,108.91931554,1,32,161,1,sar,14.5061,33.1208,-90.0,5.7594,27.6583,0.204638,auto,0,120,20.0,193.8325,143.5476,151.0987,0.95
train_000672,Train-Target-000672,area,-49.64365411,65.82638010,9,31,171,1,optical,6.7399,34.1615,8.0,8.2327,60.5028,0.411387,auto,0,120,20.0,39.6762,32.3554,110.6442,0.95
train_001788,Train-Target-001788,area,-12.11498090,-74.61471319,2,71,145,1,optical,8.8369,48.0217,8.0,6.6886,57.0415,0.307183,auto,0,120,20.0,123.4050,117.2789,111.3826,0.95
train_000393,Train-Target-000393,area,-53.40538061,4.63852050,5,19,151,1,sar,18.1268,63.2508,-90.0,5.2985,40.8134,0.274061,auto,0,120,20.0,194.0256,235.5898,265.8059,0.95
train_001575,Train-Target-001575,area,29.70358136,-82.52791162,5,135,212,1,sar,18.5531,40.3161,-90.0,5.3724,26.3066,0.238263,auto,0,120,20.0,286.0234,273.2024,324.8806,0.95
train_001706,Train-Target-001706,point,-38.25250178,-54.14797142,7,36,141,1,sar,8.4071,41.3268,-90.0,7.2313,70.6353,0.375215,sequential,2,120,5.0,,,,
train_001375,Train-Target-001375,area,-55.70542073,-172.42386903,4,75,124,1,optical,2.6510,30.4755,8.0,6.6695,44.3846,0.244036,auto,0,120,20.0,253.8258,159.9594,258.7575,0.95
train_002107,Train-Target-002107,area,-32.79482649,-67.85674066,10,69,181,1,optical,4.9381,22.3434,8.0,7.7868,57.7950,0.399430,auto,0,120,20.0,72.7378,109.3437,97.6512,0.95
train_001031,Train-Target-001031,area,74.64293909,-8.92761382,7,94,217,1,sar,18.4024,85.4970,-90.0,6.5699,20.2960,0.318053,auto,0,120,20.0,299.9942,173.2448,154.4896,0.95
train_001905,Train-Target-001905,area,-11.78072184,0.19890193,4,2,91,1,sar,16.4222,36.6076,-90.0,6.9331,39.9324,0.246125,auto,0,120,20.0,37.6417,13.1640,169.7883,0.95
train_003052,Train-Target-003052,area,57.05871473,-36.24554271,10,155,210,1,optical,2.9811,56.3343,8.0,7.3503,66.3713,0.283149,auto,0,120,20.0,16.3344,46.7136,135.1517,0.95
train_001505,Train-Target-001505,area,-58.75280486,66.41700201,1,79,228,1,optical,2.1693,36.9768,8.0,7.1639,83.5137,0.387057,auto,0,120,20.0,114.1944,50.2203,16.5222,0.95
train_002736,Train-Target-002736,area,9.93112470,53.96141720,1,52,143,1,optical,8.7245,25.9558,8.0,7.1278,59.9543,0.305497,auto,0,120,20.0,26.8549,29.9320,193.4108,0.95
train_001922,Train-Target-001922,area,-29.76169470,170.17662274,2,94,215,1,optical,3.1817,40.1908,8.0,7.2960,35.7912,0.371760,auto,0,120,20.0,61.8840,85.2076,4.7474,0.95
train_000305,Train-Target-000305,area,-60.45867230,12.06609531,6,57,181,1,sar,13.8090,75.4727,-90.0,7.8937,75.7856,0.198844,auto,0,120,20.0,228.6729,237.2704,269.2864,0.95
train_000938,Train-Target-000938,area,-46.65589677,-127.46845815,10,35,180,1,optical,2.5717,64.1014,8.0,5.1392,45.8528,0.334981,auto,0,120,20.0,204.4930,230.0974,102.7749,0.95
train_002210,Train-Target-002210,area,-15.59891750,-105.50162849,10,45,173,1,optical,9.4447,29.3031,8.0,6.7960,50.4790,0.296174,auto,0,120,20.0,159.6907,277.8744,277.5406,0.95
train_001811,Train-Target-001811,area,-34.64459342,123.87949363,9,15,102,1,optical,2.6709,30.2240,8.0,5.4852,29.9475,0.430313,auto,0,120,20.0,43.1395,38.5130,25.8573,0.95
train_001405,Train-Target-001405,area,2.99439134,90.04043458,9,110,151,1,sar,14.6927,59.4500,-90.0,7.0095,34.5270,0.184298,auto,0,120,20.0,36.4472,33.3601,215.7436,0.95
train_000578,Train-Target-000578,area,-27.20900095,178.20807795,6,47,139,1,infrared,24.9623,102.5344,-90.0,7.9174,83.1401,0.298570,auto,0,120,20.0,190.0732,273.6832,130.0583,0.95
train_002177,Train-Target-002177,area,29.68528726,41.91507298,3,21,145,1,optical,5.6710,25.4265,8.0,4.7386,34.0097,0.188670,auto,0,120,20.0,137.9356,124.1454,185.0372,0.95
train_000192,Train-Target-000192,area,-4.45784978,-17.06312272,3,112,226,1,optical,9.9659,22.6411,8.0,5.4016,44.5385,0.250537,auto,0,120,20.0,83.2277,136.9159,181.2832,0.95
train_000173,Train-Target-000173,area,21.00178946,-44.32798568,3,9,108,1,optical,9.4811,16.7794,8.0,7.6331,71.8730,0.193676,auto,0,120,20.0,20.1124,26.6536,62.7546,0.95
train_002606,Train-Target-002606,area,46.15499151,99.94921681,1,108,211,1,optical,9.8570,14.1446,8.0,7.4365,51.5280,0.232548,auto,0,120,20.0,113.3731,137.7220,49.2960,0.95
train_002506,Train-Target-002506,area,-57.15006832,-59.00347001,1,55,203,1,optical,7.9409,34.5369,8.0,5.5966,48.7070,0.440417,auto,0,120,20.0,23.6887,17.9555,71.7278,0.95
train_002878,Train-Target-002878,point,70.34467073,-136.38705984,5,88,136,1,optical,6.1597,37.5414,8.0,7.1997,35.8446,0.209792,single,1,120,5.0,,,,
train_002605,Train-Target-002605,area,-32.40122114,53.05371949,1,3,156,1,sar,15.3536,102.8680,-90.0,5.1836,54.0175,0.381573,auto,0,120,20.0,117.7237,139.2100,20.3371,0.95
train_001242,Train-Target-001242,area,13.03719273,-134.04828260,8,37,116,1,sar,17.8286,28.8344,-90.0,5.8921,25.1622,0.267976,auto,0,120,20.0,121.3920,50.0244,77.1766,0.95
train_001316,Train-Target-001316,point,29.38240935,-46.91217189,5,53,146,1,infrared,23.8871,140.8101,-90.0,5.3399,39.3032,0.424789,single,1,120,5.0,,,,
train_003009,Train-Target-003009,point,21.14516606,54.20106970,5,10,115,1,optical,2.0795,44.3332,8.0,5.4667,32.8801,0.212976,single,1,120,5.0,,,,
train_001477,Train-Target-001477,point,-25.13310551,28.40690821,10,68,198,1,sar,15.9187,55.3312,-90.0,7.3354,82.9211,0.410925,simultaneous,2,120,5.0,,,,
train_001522,Train-Target-001522,area,14.85544542,-80.43492043,9,89,226,1,optical,9.9106,10.1966,8.0,7.4938,27.2015,0.329422,auto,0,120,20.0,84.6473,94.0159,213.6846,0.95
train_000421,Train-Target-000421,area,-37.79398884,133.05161613,10,40,166,1,optical,7.3265,39.6675,8.0,6.6979,38.9880,0.290027,auto,0,120,20.0,122.7656,58.8268,171.7607,0.95
